Code,Legal Name,Business Name,Status,ABN,ACN,RTO Type,Web Address,Registration Manager,Legal Authority,Initial Registration Date,Start Date,End Date,Address,Chief Executive Contact Name,Chief Executive Emails,Chief Executive Title,Chief Executive Phone,Public Enquiries Contact Name,Public Enquiries Contact Title,Public Enquiries Email,Public Enquiries Phone,Registration Enquiries Contact Name,Registration Enquiries Title,Registration Enquiries Email,Registration Enquiries Phone,Qualifications,Courses
111,Photography Holdings Pty Ltd,PHOTOGRAPHY STUDIES COLLEGE (MELBOURNE),Current,40005525306.0,5525306.0,Education/training Business Or Centre: Privately Operated Registered Training Organisation,http://www.psc.edu.au,Australian Skills Quality Authority,National Vocational Education and Training Regulator Act 2011,01/04/1993,01/05/2020,30/04/2027,"37 Thistlethwaite St, SOUTH MELBOURNE, VIC, 3205",Mr Nicholas Duke,nick.duke@up.education,,(03)96823191,Ms. Sally Fried,"Secretary, Corporate and Academic Governance",sfried@psc.edu.au,(03)96823191,Ms Julie Moss,Chief Executive Officer,jmoss@psc.edu.au,0396823191,,
115,Impact Community Services Limited,IMPACT Community Services,Current,42950261731.0,634943552.0,Community Based Adult Education Provider,http://www.impact.org.au,Australian Skills Quality Authority,National Vocational Education and Training Regulator Act 2011,01/10/2000,01/10/2022,30/09/2029,"106-108 Bargara Road, Bundaberg East, QLD, 4670",Ms. Tanya O'Shea,toshea@impact.org.au,0741534233,0741534233,Mrs. Deniese Wilcox,Training Services Coordinator,dwilcox@impact.org.au,(07)41534233,Mrs. Deniese Wilcox,Training Services Coordinator,dwilcox@impact.org.au,(07)41534233,,
137,ASHT Pty Ltd,Alliance College,Current,71080736456.0,80736456.0,Education/training Business Or Centre: Privately Operated Registered Training Organisation,https://alliancecollege.edu.au/,Australian Skills Quality Authority,National Vocational Education and Training Regulator Act 2011,22/11/2002,01/03/2025,28/02/2032,"Level 2/ 97  Pirie Street, Adelaide, SA, 5000",Mr Lei Fa,ray@alliancecollege.edu.au,,0882231818,Mr Ben Mayne,Chief Operating Officer,ben@alliancecollege.edu.au,0882231818,Ms Eva Yang,Principal Executive Officer,eva@alliancecollege.edu.au,0882231818,,
142,Chabad Institutions of Victoria Limited,Bnos Chabad;Camp Gan Israel;CHABAD INSTITUTIONS OF AUSTRALIA INC;Chabad Sparks;CHABAD YOUTH;Daminyan;Tzivos Hashem;YESHIVA COLLEGE PRESCHOOL;Young Yeshivah,Current,50325485686.0,614990368.0,Education/training Business Or Centre: Privately Operated Registered Training Organisation,,Australian Skills Quality Authority,National Vocational Education and Training Regulator Act 2011,01/02/1994,08/03/2025,07/03/2032,"88 Hotham Street, East St Kilda, VIC, 3183",Mr Shlomo Barber,shlomo.barber@yeshivahcentre.org,,0422455565,Mrs. Hadassah Gestetner,Administrator,Ohelchana@ohelchana.edu.au,0395228258,Mrs Rivka Sufrin,Administrator,ohelchana@yeshivahcentre.org,0395228258,,
167,Institute for Aboriginal Development (Aboriginal Corporation),IAD Press;INSTITUTE FOR ABORIGINAL DEVELOPMENT INCORPORATED;Jukurrpa Books,Current,89453866817.0,,Education/training Business Or Centre: Privately Operated Registered Training Organisation,http://www.iad.edu.au,Australian Skills Quality Authority,National Vocational Education and Training Regulator Act 2011,01/01/1999,31/03/2024,30/03/2031,"8 South Tce, THE GAP, NT, 0870",Ms Penca Rafiqi,ceo@iad.edu.au,0400960781,0889511311,Ms Penca Rafiqi,CEO,ceo@iad.edu.au,0889511311,Ms Penca Rafiqi,CEO,ceo@iad.edu.au,0889511311,,
168,Nungalinya College Indigenous Corporation,NUNGALINYA COLLEGE,Current,70730187216.0,,Education/training Business Or Centre: Privately Operated Registered Training Organisation,http://www.nungalinya.edu.au/,Australian Skills Quality Authority,National Vocational Education and Training Regulator Act 2011,01/12/1999,01/12/2019,30/11/2026,"Dripstone Road, Casuarina, NT, 0810",Dr Yane Damanik,ydamanik@nungalinya.edu.au,,0474068886,Mr. Ben van Gelderen,Principal,bvangelderen@nungalinya.edu.au,0448005410,Mr. Ben van Gelderen,Principal,bvangelderen@nungalinya.edu.au,0448005410,,
170,The Suzan Johnston Organization (Aust) Pty Ltd,SUZAN JOHNSTON AUSTRALIA;SUZAN JOHNSTON TRAINING ORGANIZATION;THE SUZAN JOHNSTON ORGANIZATION AUST PTY LTD,Current,54050998493.0,50998493.0,Education/training Business Or Centre: Privately Operated Registered Training Organisation,http://www.sj.vic.edu.au,Australian Skills Quality Authority,National Vocational Education and Training Regulator Act 2011,01/10/1993,01/11/2022,31/10/2029,"Level 22 120 Spencer St, MELBOURNE, VIC, 3000",Mrs. Donna Leigh,donna@sj.vic.edu.au,,0396540999,Mrs. Donna Leigh,Chief Executive Officer,donna@sj.vic.edu.au,0396540999,Mrs. Donna Leigh,Chief Executive Officer,donna@sj.vic.edu.au,0396540999,,
173,Holmes Commercial Colleges (Melbourne) Ltd,Masters Creative Institute;MELBOURNE SCHOOL OF FASHION,Current,50005085585.0,5085585.0,Education/training Business Or Centre: Privately Operated Registered Training Organisation,http://www.holmes.edu.au,Australian Skills Quality Authority,National Vocational Education and Training Regulator Act 2011,01/12/1992,01/01/2020,06/11/2026,"185 Spring Street, Melbourne, VIC, 3000",David Mustafa,dmustafa@holmes.edu.au,,0396622055,Ms Haylie Thirlwell,Campus Director,hthirlwell@headmasters.com.au,0399459522,Ms Haylie Thirlwell,Campus Director,hthirlwell@headmasters.com.au,0399459522,,
186,Clip Joint Academy of Hairdressing Pty Ltd as trustee for the Clip Joint Academy Unit Trust,ACADEMY CLIP JOINT OF HAIRDRESSING;CLIP JOINT ACADEMY OF HAIRDRESSING;CLIP JOINT SCHOOL OF HAIRDRESSING,Current,65007983860.0,7983860.0,Education/training Business Or Centre: Privately Operated Registered Training Organisation,http://www.clipjoint.com.au,Australian Skills Quality Authority,National Vocational Education and Training Regulator Act 2011,01/04/2003,04/07/2025,03/07/2032,"1st Floor
86 Gawler Place, Adelaide, SA, 5000",Mr Alfredo Cappella,academy@clipjoint.com.au,,0882235600,Mrs. Kerrie Bowen,Principal and Director of Studies,kerrie@clipjoint.com.au,0882235600,Mrs. Bowen Kerrie,Director of Studies/ Administrative Manager,kerrie@clipjoint.com.au,0882235600,,
195,PARTEC (QLD) Pty. Ltd.,AMAD - (ADVANCED MANUFACTURING & DESIGN CENTRE);COMPOSITES TRAINING CENTRE;PARTEC;PARTEC INSTITUTE,Current,49011020732.0,11020732.0,Education/training Business Or Centre: Privately Operated Registered Training Organisation,http://www.partec.qld.edu.au,Australian Skills Quality Authority,National Vocational Education and Training Regulator Act 2011,01/01/1998,01/10/2022,30/09/2029,"1030 CAVENDISH RD, Mount Gravatt East, QLD, 4122",Mr Roger Cater,rcater@partec.qld.edu.au,0417002734,0738497878,Ms Terry Sturman,Training Administration Consultant,terry@partec.qld.edu.au,0738497878,Ms Terry Sturman,Training Administration Consultant,terry@partec.qld.edu.au,0738497878,,
201,Transport Industries Skills Centre Inc,Sutton Road Training Centre,Current,61482053531.0,,Industry Association,http://www.suttonroad.com.au,Australian Skills Quality Authority,National Vocational Education and Training Regulator Act 2011,27/02/1997,25/10/2024,24/10/2031,"441 Sutton Rd, Majura, ACT, 2609",Mr Peter Ross Hill,Peter.Hill@suttonroad.com.au,0439039942,0439039942,,,Office@suttonroad.com.au,0262977187,Mr. Paul Griffiths,Business and Development Manager,Paul.Griffiths@suttonroad.com.au,62977187,,
249,MVJ Enterprises Pty Ltd,PERTH COLLEGE OF BEAUTY THERAPY;YES COLLEGE,Current,75095368773.0,95368773.0,Education/training Business Or Centre: Privately Operated Registered Training Organisation,http://www.perthcollege.com.au,Australian Skills Quality Authority,National Vocational Education and Training Regulator Act 2011,08/02/1994,01/12/2024,31/05/2031,"339 Albany Highway, Victoria Park, WA, 6100",Mr Mario Gallo,ceo@perthcollege.com.au,0415379751,0893613111,Mr. Mario Gallo,Chief Executive Officer,enquiries@perthcollege.com.au,(08)93613111,Mr Mario Gallo,Chief Executive Officer,ceo@perthcollege.com.au,0893613111,,
260,Chisholm Institute,CHISHOLM INSTITUTE;CHISHOLM INSTITUTE OF TAFE,Current,65335795326.0,,"Technical And Further Education Institute, Skills Institute Or Polytechnic",http://www.chisholm.edu.au/,Australian Skills Quality Authority,National Vocational Education and Training Regulator Act 2011,21/08/1998,30/10/2022,29/10/2029,"121 Stud Road, Dandenong, VIC, 3175",Mr Stephen Varty,stephen.varty@chisholm.edu.au,0417007388,392125331,Client Services Information,VET General Enquiries,enquiries@chisholm.edu.au,1300244746,Mr. Peter Smith,"Academic Registrar, Academic Administration",registrar@chisholm.edu.au,1300244746,,
264,SA Ambulance Service,AMBULANCE COVER;AMBULANCE TRANSFER SERVICE;Call Direct;MEDSTAR;MedSTAR Emergency Medical Retrieval;PARAMEDIC AMBULANCE SERVICE;PARAMEDICS;SA AMBULANCE SERVICE FIRST RESPONSE,Current,42875540856.0,,Enterprise - Government,http://www.saambulance.com.au,Australian Skills Quality Authority,National Vocational Education and Training Regulator Act 2011,01/07/1999,01/07/2019,30/06/2026,"216 Greenhill Road, Eastwood, SA, 5063",Mr Rob Elliott,Rob.Elliott@sa.gov.au,0417843750,0417843750,Mr. Aaron Caudle,Program Manager Vocational Education and Future Directions,SAASRTOCompliance.GenericMailbox@sa.gov.au,0882740331,Mr. Aaron Caudle,Program Manager Vocational Education and Future Directions,SAASRTOCompliance.GenericMailbox@sa.gov.au,0882740331,,
269,Think: Colleges Pty Ltd,SOUTHERN SCHOOL OF NATURAL THERAPIES;The Practice Wellbeing Centre;THINK : COLLEGES;THINK EDUCATION,Current,93050049299.0,50049299.0,Education/training Business Or Centre: Privately Operated Registered Training Organisation,http://www.think.edu.au,Australian Skills Quality Authority,National Vocational Education and Training Regulator Act 2011,24/04/1995,26/11/2019,25/11/2026,"1-37 Foveaux St, SURRY HILLS, NSW, 2010",Mr Dan Cockerell,dan.cockerell@torrens.edu.au,0475216167,1300575803,Mrs. Trish Fairbourn,Director of Regulatory Compliance,tfairbourn@Torrens.edu.au,1300575803,Mrs. Trish Fairbourn,Director of Regulatory Compliance,tfairbourn@Torrens.edu.au,1300575803,,
275,TAFE Queensland,TAFE QUEENSLAND,Current,72898805093.0,,"Technical And Further Education Institute, Skills Institute Or Polytechnic",https://tafeqld.edu.au/,Australian Skills Quality Authority,National Vocational Education and Training Regulator Act 2011,01/01/1998,01/11/2019,30/06/2026,"1030 Cavendish Rd, MOUNT GRAVATT EAST, QLD, 4122",Mr John Tucker,john.tucker@tafeqld.edu.au,0407111226,0732440215,,,enquiries@tafeqld.edu.au,1300308233,Mr Gerry Amos,Acting Executive Director Vocational Education & RTO Manager,gerry.amos@tafeqld.edu.au,+61417739517,,
281,Jobtrain Pty Ltd,selectability Training,Current,36759736468.0,607784592.0,Education/training Business Or Centre: Privately Operated Registered Training Organisation,http://www.selectabilitytraining.com.au,Australian Skills Quality Authority,National Vocational Education and Training Regulator Act 2011,01/01/1998,01/10/2022,30/09/2029,"131 Denham St, TOWNSVILLE CITY, QLD, 4810",Ms Debra Burden,debraburden@selectability.com.au,0467177004,0467177004,Selectability Training Enquiries,Training Administrator,training@selectability.com.au,0744530100,Selectability Training Enquiries,Training Administrator,training@selectability.com.au,0744530100,,
305,Jobs South West Inc,JSW Training & Community Services,Current,31081676271.0,81676271.0,Education/training Business Or Centre: Privately Operated Registered Training Organisation,http://www.jsw.org.au,Western Australian Training Accreditation Council (WA TAC),Section 27(1) of the Vocational Education and Training Act WA 1996,11/05/1993,13/11/2024,31/10/2031,"1/101 Victoria Street, BUNBURY, WA, 6230",Travis Sprigg,travis.sprigg@swcc.org.au,0412695694,97215033,Catherine McGill,RTO Manager,cathym@jsw.org.au,0897215033,Catherine McGill,RTO Manager,cathym@jsw.org.au,0897215033,,
328,The Trustee for the Salvation Army (NSW) Property Trust,Eva Burrows College Vocational Training,Current,57507607457.0,,Community Based Adult Education Provider,http://www.evaburrowscollege.edu.au,Australian Skills Quality Authority,National Vocational Education and Training Regulator Act 2011,10/04/1995,04/11/2018,14/08/2025,"Suite 1 Level 1 426 Church St, PARRAMATTA, NSW, 2150",Major Christine Wright,christine.wright@salvationarmy.org.au,0398475410,0398475410,Mrs Robyn Culbert,Quality and Compliance Manager,robyn.culbert@salvationarmy.org.au,0295020459,Mrs Robyn Culbert,Quality and Compliance Manager,robyn.culbert@salvationarmy.org.au,0295020459,,
361,Skill Hire WA Pty Ltd,,Current,95143388881.0,143388881.0,Education/training Business Or Centre: Privately Operated Registered Training Organisation,http://www.skillhire.com.au,Australian Skills Quality Authority,National Vocational Education and Training Regulator Act 2011,13/06/1996,01/05/2019,01/08/2026,"Unit 3 271 Berkshire Rd, FORRESTFIELD, WA, 6058",Ben Dahlstrom,ben.dahlstrom@skillhire.com.au,0484060344,0484060344,Mrs Ronel Derman,Administration and Compliance Manager,Ronel.Derman@skillhire.com.au,0861821633,Mr Ryan Piggott,General Manager,ryan.piggott@skillhire.com.au,0418700118,,
366,GEM College of International Business (Australia) Pty Ltd,Digital Marketing Academy;ECO-ACADEMY;FOOD PROCESSORS;SCORPION TRAINING SOLUTIONS;SILVER SERVICE CARE;Workright Australia;WOW! Institute,Current,70063009521.0,63009521.0,Education/training Business Or Centre: Privately Operated Registered Training Organisation,http://www.gemcollege.edu.au/,Australian Skills Quality Authority,National Vocational Education and Training Regulator Act 2011,24/09/1993,31/08/2019,30/08/2026,"52 Prospect Rd, PROSPECT, SA, 5082",Ms. Monique McCloskey,monique.mccloskey@gemcollege.edu.au,0416817743,0883423316,Mr. Stephen Short,Quality Control Unit and Compliance Officer,stephen.short@gemcollege.edu.au,0883423316,Mr. Brendan Lindstrom,Director,brendan.lindstrom@gemcollege.edu.au,0883423316,,
373,Charles Darwin University,CDU BOOKSHOP;CDU Child Care Centre;CDU Northern Editions;CDU PRess;CENTRE FOR YOUTH MUSIC;CHARLES DARWIN UNIVERSITY FOUNDATION;DESERT LANTERN RESTAURANT;EDTRAVEL NORTHERN TERRITORY;IH Darwin;International House Darwin;KARAWA RESTAURANT;NORTH FLINDERS INTERNATIONAL HOUSE;NORTHERN TERRITORY RURAL COLLEGE;TERRITORY FM;TRAINING SOLUTIONS;UNIPRINT NT,Current,54093513649.0,,University - Government,http://www.cdu.edu.au,Australian Skills Quality Authority,National Vocational Education and Training Regulator Act 2011,01/02/1992,21/09/2018,20/09/2025,"Ellengowan Drive, Casuarina, NT, 0810",Prof Scott Bowman,vc@cdu.edu.au,,089466040,CDU Reception,Student Central,student.central@cdu.edu.au,1800061963,Mrs. Natasha McCrae,Team Leader Accreditation and Registration,natasha.mccrae@cdu.edu.au,0889467775,,
381,Top End Group Training Pty Ltd,GTNT Group;Institute of Skills and Training Australia;TOP END GROUP TRAINING PTY LTD,Current,50009648337.0,9648337.0,Education/training Business Or Centre: Privately Operated Registered Training Organisation,http://www.gtnt.com.au,Australian Skills Quality Authority,National Vocational Education and Training Regulator Act 2011,01/01/1999,07/06/2024,06/06/2031,"38 Woods Street, Darwin, NT, 0800",Mrs Kathryn Stenson,kathryn.stenson@gtnt.com.au,0412671733,0889800600,Mr. Shaun Stenson,RTO Manager,shaun.stenson@skillsandtraining.com.au,0889800600,Mr. Shaun Stenson,RTO Manager,shaun.stenson@skillsandtraining.com.au,0889800600,,
382,Real Estate Institute of the Northern Territory Inc,REAL ESTATE INSTITUTE OF NORTHERN TERRITORY INC,Current,15717052155.0,,Education/training Business Or Centre: Privately Operated Registered Training Organisation,http://www.reint.com.au,Australian Skills Quality Authority,National Vocational Education and Training Regulator Act 2011,01/06/1999,01/10/2024,30/09/2031,"Unit 1 6 Lindsay St, DARWIN CITY, NT, 0800",Ms Jo Fitzpatrick,jo.fitzpatrick@reint.com.au,0404065141,0404065141,Ms. Sila Crosley,PD Coordinator,pd@reint.com.au,0889818905,Ms. Sila Crosley,PD Coordinator,pd@reint.com.au,0889818905,,
383,Batchelor Institute of Indigenous Tertiary Education,Batchelor Institute;BATCHELOR INSTITUTE OF INDIGENOUS TERTIARY EDUCATION;BATCHELOR INSTITUTE OF INDIGENOUS TERTIARY EDUCATION CASUAL PAYMENTS SYSTEM;MACS BATCHELOR CHILD CARE CENTRE INC,Current,32039179166.0,,"Technical And Further Education Institute, Skills Institute Or Polytechnic",http://www.batchelor.edu.au,Australian Skills Quality Authority,National Vocational Education and Training Regulator Act 2011,01/01/1999,31/12/2023,30/12/2027,"Cnr Awilla Rd and Nurndina Cres, BATCHELOR, NT, 0845",Mr Joseph Martin-Jard,ceo@batchelor.edu.au,0473589497,0889397499,Mrs Susan Wright,Director Executive Services,susan.wright@batchelor.edu.au,0427588115,Mrs Susan Wright,Director Executive Services,susan.wright@batchelor.edu.au,0427588115,,
384,NORTHERN TERRITORY OF AUSTRALIA,NORTHERN TERRITORY POLICE FIRE AND EMERGENCY SERVICES,Current,84085734992.0,,Enterprise - Government,http://www.nt.gov.au/pfes/,Australian Skills Quality Authority,National Vocational Education and Training Regulator Act 2011,01/08/1998,24/04/2025,23/04/2032,"Peter McAulay Centre

McMillians Road, Berrimah, NT, 0828",Mrs Frances Gusthart,Frances.Gusthart@pfes.nt.gov.au,+61417982406,0400494239,Mrs Frances Gusthart,College Manager,Frances.Gusthart@pfes.nt.gov.au,0400494239,Mrs Frances Gusthart,College Manager,Frances.Gusthart@pfes.nt.gov.au,0400494239,,
386,Hospitality Group Training (WA) Inc,HOSPITALITY GROUP TRAINING (WA),Current,59620392309.0,,Education/training Business Or Centre: Privately Operated Registered Training Organisation,http://www.hgtwa.com.au,Australian Skills Quality Authority,National Vocational Education and Training Regulator Act 2011,12/05/1994,01/06/2019,31/05/2026,"38 Parliament Place, WEST PERTH, WA, 6005",Mr Mark Sainsbury,mark@hgtwa.com.au,0434401875,0434401875,Ms Joanne Bunce,"Manager Industry, Training & Schools",joanne@hgtwa.com.au,894811602,Mr Mark Sainsbury,VET Registration Enquiries,mark@hgtwa.com.au,0434401875,,
389,Manageering Pty Ltd,MANAGEERING PTY LTD;WESTERN AUSTRALIAN AVIATION COLLEGE,Current,99056966397.0,56966397.0,Education/training Business Or Centre: Privately Operated Registered Training Organisation,http://www.waaviationcollege.com.au,Australian Skills Quality Authority,National Vocational Education and Training Regulator Act 2011,08/06/1995,20/09/2018,19/09/2025,"41 Eagle Dr, JANDAKOT, WA, 6164",Mr William Evans,wevans@waaviationcollege.com.au,0406992047,0894170000,Mr William Evans,Principal Executive Officer,wevans@waaviationcollege.com.au,0894170000,Mr William Evans,Principal Executive Officer,wevans@waaviationcollege.com.au,0894170000,,
392,St John Ambulance (Western Australia) Ltd,,Current,55028468715.0,165969406.0,Community Based Adult Education Provider,http://www.ambulance.net.au,Australian Skills Quality Authority,National Vocational Education and Training Regulator Act 2011,18/12/1997,01/05/2025,30/04/2032,"209 Great Eastern Highway, BELMONT, WA, 6984",Mr. Kevin Brown,kevin.brown@stjohnwa.com.au,0438484605,0893341222,Ms Laura Perry,Client Success Manager,Laura.perry@stjohnwa.com.au,(08)93348217,Mrs Peta Marshall,Head of Training Design and Governance,peta.marshall@stjohnwa.com.au,(08)93341358,,
393,Marr Mooditj Training Aboriginal Corporation,Marr Mooditj Training Inc,Current,33073703763.0,,Education/training Business Or Centre: Privately Operated Registered Training Organisation,http://www.marrmooditj.com.au,Western Australian Training Accreditation Council (WA TAC),Section 27(1) of the Vocational Education and Training Act WA 1996,17/07/1997,08/08/2019,30/04/2026,"295 Manning Road, WATERFORD, WA, 6152",Ms Margaret Shaw,margaret@marrmooditj.com.au,0402771036,93519344,Mr Robert Indich,RTO Administrator,robert@marrmooditj.com.au,93519344,Mr Robert Indich,RTO Administrator,robert@marrmooditj.com.au,93519344,,
397,Department of Biodiversity Conservation and Attractions,BIBBULMUN TRACK;CAPE TO CAPE TRACK;Department of Environment and Conservation;NEARER TO NATURE;PERTH HILLS CENTRE;PINNACLES DESERT DISCOVERY;SHOALWATER ISLANDS MARINE PARK;W.A. NATURALLY;WILDCARE;Yanchep National Park,Current,38052249024.0,,Enterprise - Government,http://www.dbca.wa.gov.au,Australian Skills Quality Authority,National Vocational Education and Training Regulator Act 2011,15/01/1998,01/06/2019,31/05/2026,"17 Dick Perry Ave, Kensington, WA, 6151",Ms Amanda Nabi,amanda.nabi@dbca.wa.gov.au,0439297746,0439297746,Ms Liz Mortimore,"Coordinator, Quality Assurance and Systems",Liz.Mortimore@dbca.wa.gov.au,0428008166,Ms Liz Mortimore,"Coordinator, Quality Assurance and Systems",Liz.Mortimore@dbca.wa.gov.au,0428008166,,
412,The Real Estate Institute of Tasmania,The Real Estate Institute Of Tasmania,Current,92009481207.0,9481207.0,Industry Association,http://www.reit.com.au,Australian Skills Quality Authority,National Vocational Education and Training Regulator Act 2011,23/09/2004,22/09/2019,21/09/2026,"Real Estate House
33 Melville Street, Hobart, TAS, 7000",Ms. Michelle Tynan,michelle.tynan@reit.com.au,0427414668,0362234769,Mr James Jackson,Training Administrator,james.jackson@reit.com.au,0362234769,Mrs Tameka Smith,Head Of Training,tameka.smith@reit.com.au,0362234769,,
